alarm_id,event_timestamp,alarm_code,component_tag,measured_value,unit,setpoint,comparison,panel_label,event_state,ack_timestamp,clear_timestamp,source_note
ALM-0029,2026-06-22T04:20,DEWPOINT_HIGH,CA-D-317A,-32.3,C,-35.0,>,ACKNOWLEDGED,ACTIVE,2026-06-22T04:24,,
ALM-0030,2026-06-22T05:20,AFTERFILTER_DP_HIGH,AF-317A,1.15,psig,1.0,>,NORMAL,ACTIVE,2026-06-22T05:24,,
ALM-0031,2026-06-22T06:20,PURGE_FLOW_LOW,CA-D-317A,104,scfm,110.0,<,ACKNOWLEDGED,CLEARED,2026-06-22T06:24,2026-06-22T06:38,
ALM-0032,2026-06-22T07:20,MOTOR_CURRENT_HIGH,MTR-CA-317A,382.5,A,380.0,>,ACKNOWLEDGED,CLEARED,2026-06-22T07:24,2026-06-22T07:38,
ALM-0033,2026-06-22T08:20,PREFILTER_DP_HIGH,PF-317A,1.24,psig,1.5,>,NORMAL,INACTIVE,2026-06-22T08:24,,
ALM-0034,2026-06-22T09:20,OIL_CARRYOVER_HIGH,CA-C-317A,0.014,mg/m3,0.01,>,FAIL,ACTIVE,2026-06-22T09:24,,Value imported from sample OC-317-2601 before laboratory QA invalidation
ALM-0035,2026-06-22T10:20,PSV_CERT_DUE,PSV-317B,0.0,status,0.0,=,ACKNOWLEDGED,ACTIVE,2026-06-22T10:24,,Panel cross-reference uses superseded serial RV-B-1181
ALM-0036,2026-06-22T11:20,DEWPOINT_HIGH,CA-D-317A,-33.4,C,-35.0,>,ACKNOWLEDGED,ACTIVE,2026-06-22T11:24,,
ALM-0037,2026-06-22T12:20,AFTERFILTER_DP_HIGH,AF-317A,1.12,psig,1.0,>,NORMAL,ACTIVE,2026-06-22T12:24,,
ALM-0038,2026-06-22T13:20,PURGE_FLOW_LOW,CA-D-317A,106,scfm,110.0,<,ACKNOWLEDGED,CLEARED,2026-06-22T13:24,2026-06-22T13:38,
ALM-0039,2026-06-22T14:20,MOTOR_CURRENT_HIGH,MTR-CA-317A,381.6,A,380.0,>,ACKNOWLEDGED,CLEARED,2026-06-22T14:24,2026-06-22T14:38,
ALM-0040,2026-06-22T15:20,PREFILTER_DP_HIGH,PF-317A,1.24,psig,1.5,>,NORMAL,INACTIVE,2026-06-22T15:24,,
ALM-0041,2026-06-22T16:20,OIL_CARRYOVER_HIGH,CA-C-317A,0.014,mg/m3,0.01,>,FAIL,ACTIVE,2026-06-22T16:24,,Value imported from sample OC-317-2601 before laboratory QA invalidation
ALM-0042,2026-06-22T17:20,PSV_CERT_DUE,PSV-317B,0.0,status,0.0,=,ACKNOWLEDGED,ACTIVE,2026-06-22T17:24,,Panel cross-reference uses superseded serial RV-B-1181
